zeit,sport,fleissig,entmutigen,talente,einkommen,energie,megacity,geleebohnen,soziale_medien,studium,buch,alter,geschlecht,buch__Ja,buch__Nein,geschlecht__Männlich,geschlecht__Weiblich,entmutigen_orig,energie_orig,sport_qm,fleissig_qm,talente_qm,entmutigen_qm
2023/10/17 4:37:01 PM OESZ,trifft eher zu,trifft völlig zu,trifft eher zu,teils teils,40,82,4,800,5,3,Nein,20,Weiblich,0,1,0,1,4,ca. 82%,4,5,3,4
2023/10/17 4:37:16 PM OESZ,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft überhaupt nicht zu,50,62,2,375,200,15,Nein,21,Männlich,0,1,1,0,4,ca. 62%,4,2,1,4
2023/10/17 4:37:44 PM OESZ,trifft überhaupt nicht zu,teils teils,trifft eher zu,trifft eher zu,23,62,4,500,300,60,Nein,20,Weiblich,0,1,0,1,4,ca. 62%,1,3,4,4
2023/10/17 4:37:51 PM OESZ,trifft eher nicht zu,trifft eher nicht zu,trifft eher nicht zu,trifft überhaupt nicht zu,68,82,3,568,240,15,Nein,23,Männlich,0,1,1,0,2,ca. 82%,2,2,1,2
2023/10/17 4:37:57 PM OESZ,teils teils,trifft eher nicht zu,trifft eher zu,trifft überhaupt nicht zu,14,82,3,600,30,60,Nein,24,Männlich,0,1,1,0,4,ca. 82%,3,2,1,4
2023/10/17 4:38:00 PM OESZ,trifft überhaupt nicht zu,trifft überhaupt nicht zu,trifft überhaupt nicht zu,trifft eher nicht zu,90,82,5,10000000000,7,2,Ja,23,Männlich,1,0,1,0,1,ca. 82%,1,1,2,1
2023/10/17 4:38:12 PM OESZ,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,100,62,2,23400,200,120,Ja,22,Weiblich,1,0,0,1,4,ca. 62%,4,4,2,4
2023/10/17 4:38:24 PM OESZ,trifft eher zu,trifft eher zu,teils teils,trifft eher nicht zu,20,62,3,1000,60,180,Ja,24,Weiblich,1,0,0,1,3,ca. 62%,4,4,2,3
2023/10/17 4:38:28 PM OESZ,trifft völlig zu,trifft eher zu,teils teils,trifft überhaupt nicht zu,65,82,2,670,180,80,Ja,20,Männlich,1,0,1,0,3,ca. 82%,5,4,1,3
2023/10/17 4:38:29 PM OESZ,trifft eher nicht zu,trifft eher nicht zu,trifft eher zu,trifft eher nicht zu,61,62,4,231,300,30,Ja,25,Männlich,1,0,1,0,4,ca. 62%,2,2,2,4
